#plate,mjd,fiber,central_wavelength,col_density,nan_percent
3586,55181,158,3764.10000000000,20.9090000000000,0.0570000000000000
3586,55181,174,4047.60000000000,20.9590000000000,0.146000000000000
3587,55182,274,3945,20.0760000000000,0.0460000000000000
3587,55182,310,4227.70000000000,21.1930000000000,0.0840000000000000
3587,55182,389,4581.20000000000,20.0550000000000,0.0610000000000000
3587,55182,596,4513.40000000000,20.2470000000000,0.0400000000000000
3588,55184,24,4400.60000000000,20.3500000000000,0.155000000000000
3588,55184,130,3874.10000000000,21.1490000000000,0.103000000000000
3588,55184,346,4002.80000000000,20.7510000000000,0.0850000000000000
3589,55186,914,3812.20000000000,21.1530000000000,0.0920000000000000
3590,55201,462,4042.70000000000,20.6790000000000,0.139000000000000
3590,55201,616,4063.60000000000,20.7470000000000,0.179000000000000
3590,55201,670,4032.70000000000,20.3820000000000,0.0740000000000000
3609,55201,648,3738.40000000000,20.3380000000000,0.0280000000000000
3609,55201,794,4286.90000000000,20.9560000000000,0.0490000000000000
3609,55201,842,3897.80000000000,20.9000000000000,0.0550000000000000
3615,55179,96,4041.80000000000,20.0900000000000,0.131000000000000
3615,55179,212,3928.10000000000,20.8840000000000,0.0800000000000000
3615,55179,476,4439.30000000000,20.2260000000000,0.232000000000000
3615,55445,452,4042.50000000000,20.2960000000000,0.0460000000000000
3615,55445,808,4539,20.1020000000000,0.0450000000000000
3639,55205,143,3782.50000000000,20.1670000000000,0.141000000000000
3639,55205,970,3711.60000000000,20.1110000000000,0.196000000000000
3647,55241,632,4516.20000000000,20.9940000000000,0.107000000000000
3650,55244,932,4139.70000000000,20.4410000000000,0.189000000000000
3651,55247,86,4220.80000000000,20.4550000000000,0.0870000000000000
3651,55247,728,4787.70000000000,21.1610000000000,0.195000000000000
3655,55240,310,3788.80000000000,20.6880000000000,0.0520000000000000
3655,55240,554,4396.90000000000,20.3010000000000,0.0470000000000000
3655,55240,638,4017.90000000000,20.3210000000000,0.0430000000000000
3655,55240,990,3854.50000000000,20.4100000000000,0.0610000000000000
3656,55241,378,4351.60000000000,20.4340000000000,0.0390000000000000
3657,55244,716,4001.40000000000,20.4620000000000,0.0180000000000000
3657,55244,820,4320.90000000000,20.9950000000000,0.0330000000000000
3657,55244,871,4408.80000000000,20.6670000000000,0.0360000000000000
3657,55244,874,5034.40000000000,20.5200000000000,0.246000000000000
3658,55205,22,3806.30000000000,20.6500000000000,0.0870000000000000
3658,55205,744,4055.60000000000,20.3880000000000,0.0790000000000000
3658,55205,832,4704.40000000000,20.6840000000000,0.119000000000000
3659,55181,938,4066.20000000000,20.6940000000000,0.188000000000000
